Screen_1 Width: 1920, Height: 1080
Total items: 119

Name: FPC_V046                       | Type: HmiFaceplateContainer                    | Left: 185, Top: 572
Name: FPC_V047                       | Type: HmiFaceplateContainer                    | Left: 358, Top: 572
Name: FPC_V048                       | Type: HmiFaceplateContainer                    | Left: 531, Top: 572
Name: FPC_V049                       | Type: HmiFaceplateContainer                    | Left: 704, Top: 572
Name: FPC_V050                       | Type: HmiFaceplateContainer                    | Left: 877, Top: 572
Name: FPC_V051                       | Type: HmiFaceplateContainer                    | Left: 1050, Top: 572
Name: FPC_V052                       | Type: HmiFaceplateContainer                    | Left: 1223, Top: 572
Name: FPC_V053                       | Type: HmiFaceplateContainer                    | Left: 1396, Top: 572
Name: FPC_V054                       | Type: HmiFaceplateContainer                    | Left: 1569, Top: 572
Name: FPC_V055                       | Type: HmiFaceplateContainer                    | Left: 1742, Top: 572
Name: FPC_V056                       | Type: HmiFaceplateContainer                    | Left: 12, Top: 690
Name: FPC_V057                       | Type: HmiFaceplateContainer                    | Left: 185, Top: 690
Name: FPC_V058                       | Type: HmiFaceplateContainer                    | Left: 358, Top: 690
Name: FPC_V059                       | Type: HmiFaceplateContainer                    | Left: 531, Top: 690
Name: FPC_V060                       | Type: HmiFaceplateContainer                    | Left: 704, Top: 690
Name: FPC_V061                       | Type: HmiFaceplateContainer                    | Left: 877, Top: 690
Name: FPC_V062                       | Type: HmiFaceplateContainer                    | Left: 1050, Top: 690
Name: FPC_V063                       | Type: HmiFaceplateContainer                    | Left: 1223, Top: 690
Name: FPC_V064                       | Type: HmiFaceplateContainer                    | Left: 1396, Top: 690
Name: FPC_V065                       | Type: HmiFaceplateContainer                    | Left: 1569, Top: 690
Name: FPC_V066                       | Type: HmiFaceplateContainer                    | Left: 1742, Top: 690
Name: FPC_V067                       | Type: HmiFaceplateContainer                    | Left: 12, Top: 808
Name: FPC_V068                       | Type: HmiFaceplateContainer                    | Left: 185, Top: 808
Name: FPC_V069                       | Type: HmiFaceplateContainer                    | Left: 358, Top: 808
Name: FPC_V070                       | Type: HmiFaceplateContainer                    | Left: 531, Top: 808
Name: FPC_V071                       | Type: HmiFaceplateContainer                    | Left: 704, Top: 808
Name: FPC_V072                       | Type: HmiFaceplateContainer                    | Left: 877, Top: 808
Name: FPC_V073                       | Type: HmiFaceplateContainer                    | Left: 1050, Top: 808
Name: FPC_V074                       | Type: HmiFaceplateContainer                    | Left: 1223, Top: 808
Name: FPC_V075                       | Type: HmiFaceplateContainer                    | Left: 1396, Top: 808
Name: FPC_V076                       | Type: HmiFaceplateContainer                    | Left: 1569, Top: 808
Name: FPC_V077                       | Type: HmiFaceplateContainer                    | Left: 1742, Top: 808
Name: FPC_V078                       | Type: HmiFaceplateContainer                    | Left: 12, Top: 926
Name: FPC_V079                       | Type: HmiFaceplateContainer                    | Left: 185, Top: 926
Name: FPC_V080                       | Type: HmiFaceplateContainer                    | Left: 358, Top: 926
Name: FPC_V081                       | Type: HmiFaceplateContainer                    | Left: 531, Top: 926
Name: FPC_V082                       | Type: HmiFaceplateContainer                    | Left: 704, Top: 926
Name: FPC_V083                       | Type: HmiFaceplateContainer                    | Left: 877, Top: 926
Name: FPC_V084                       | Type: HmiFaceplateContainer                    | Left: 1050, Top: 926
Name: FPC_V085                       | Type: HmiFaceplateContainer                    | Left: 1223, Top: 926
Name: FPC_V086                       | Type: HmiFaceplateContainer                    | Left: 1396, Top: 926
Name: FPC_V087                       | Type: HmiFaceplateContainer                    | Left: 1569, Top: 926
Name: FPC_V088                       | Type: HmiFaceplateContainer                    | Left: 1742, Top: 926
